GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CodeChallenge,com.mycompany.codechallenge,Calculadora,0,20,0,2,0,5,0,4,0,3
CodeChallenge,com.mycompany.codechallenge,CodeChallenge,4,0,0,0,3,0,2,0,2,0
